答案代號,主題,問題,Ｑ換句話說,Ａ答案,關鍵字,同義詞
LQA-4-81,餐點詢問,介紹香蔥蛋椒鹽燒肉蛋土司,香蔥蛋椒鹽燒肉蛋土司裡面有什麼? 香蔥蛋椒鹽燒肉蛋土司內容物 香蔥蛋椒鹽燒肉蛋土司包什麼？ 香蔥蛋椒鹽燒肉蛋有什麼? 香蔥蛋椒鹽燒肉蛋內容物 香蔥蛋椒鹽燒肉蛋包什麼？ 椒鹽燒肉蛋有什麼? 椒鹽燒肉蛋內容物 椒鹽燒肉蛋包什麼？ ,你好！香蔥蛋椒鹽燒肉蛋土司(土司兩片、沙拉、醬燒肉片、蔥蛋),香蔥蛋椒鹽燒肉蛋,燒肉蛋
LQA-4-82,餐點詢問,介紹花枝炸物土司,花枝炸物土司裡面有什麼? 花枝炸物土司內容物 花枝炸物土司包什麼？ 花枝炸物有什麼? 花枝炸物內容物 花枝炸物包什麼？ ,你好！花枝炸物土司(土司兩片、沙拉、酥炸花枝、雞蛋),花枝炸物,炸花枝
LQA-4-83,餐點詢問,介紹薯泥沙拉蛋土司,薯泥沙拉蛋土司裡面有什麼? 薯泥沙拉蛋土司內容物 薯泥沙拉蛋土司包什麼？ 薯泥沙拉蛋有什麼? 薯泥沙拉蛋內容物 薯泥沙拉蛋包什麼？ ,你好！薯泥沙拉蛋土司(土司兩片、薯泥蛋、沙拉),薯泥沙拉蛋,薯泥
LQA-4-84,餐點詢問,介紹黃瓜雞蛋土司,黃瓜雞蛋土司裡面有什麼? 黃瓜雞蛋土司內容物 黃瓜雞蛋土司包什麼？ 黃瓜雞蛋有什麼? 黃瓜雞蛋內容物 黃瓜雞蛋包什麼？ ,你好！黃瓜雞蛋土司(土司兩片、小黃瓜、雞蛋),黃瓜雞蛋土司,黃瓜蛋
LQA-4-85,餐點詢問,丹麥鮮蔬薯泥,丹麥鮮蔬薯泥裡面有什麼? 丹麥鮮蔬薯泥內容物 丹麥鮮蔬薯泥包什麼？ ,你好！丹麥鮮蔬薯泥(丹麥兩片、薯泥蛋、美生菜、沙拉),丹麥鮮蔬薯泥,丹麥薯泥
LQA-4-86,餐點詢問,鮮蔬雞蛋堡,鮮蔬雞蛋堡裡面有什麼? 鮮蔬雞蛋堡內容物 鮮蔬雞蛋堡包什麼？ ,你好！鮮蔬雞蛋堡(漢堡、沙拉、千島醬、素火腿、雞蛋、生菜),鮮蔬雞蛋堡,鮮蔬蛋
LQA-4-87,餐點詢問,介紹慢烤 司三明治,慢烤 司三明治裡面有什麼? 慢烤 司三明治內容物 慢烤 司三明治包什麼？ 慢烤 司有什麼? 慢烤 司內容物 慢烤 司包什麼？  司三明治有什麼?  司三明治內容物  司三明治包什麼？ ,你好！慢烤 司三明治(土司三片、沙拉、 司、雞蛋),慢烤 司三明治  司三明治 ,慢烤 司
LQA-4-88,餐點詢問,介紹火腿雞蛋堡,火腿雞蛋堡裡面有什麼? 火腿雞蛋堡內容物 火腿雞蛋堡包什麼？ ,你好！火腿雞蛋堡(漢堡、火腿、雞蛋、千島醬、沙拉),火腿雞蛋堡,
LQA-4-89,餐點詢問,介紹香酥雞肉堡,香酥雞肉堡裡面有什麼? 香酥雞肉堡內容物 香酥雞肉堡包什麼？ ,你好！香酥雞肉堡(漢堡、沙拉、香酥雞、照燒醬、雞蛋),香酥雞肉堡,
LQA-4-90,餐點詢問,介紹薯餅雞蛋堡,薯餅雞蛋堡裡面有什麼? 薯餅雞蛋堡內容物 薯餅雞蛋堡包什麼？ ,你好！薯餅雞蛋堡(漢堡、沙拉、薯餅、雞蛋),薯餅雞蛋堡,
LQA-4-91,餐點詢問,介紹香蔥蛋椒鹽燒肉堡,香蔥蛋椒鹽燒肉堡裡面有什麼? 香蔥蛋椒鹽燒肉堡內容物 香蔥蛋椒鹽燒肉堡包什麼？ 蔥蛋椒鹽燒肉堡裡面有什麼? 蔥蛋椒鹽燒肉堡內容物 蔥蛋椒鹽燒肉堡包什麼？ 蔥蛋燒肉堡裡面有什麼? 蔥蛋燒肉堡內容物 蔥蛋燒肉堡包什麼？ ,你好！香蔥蛋椒鹽燒肉堡(漢堡、沙拉、蔥蛋、燒肉),香蔥蛋椒鹽燒肉堡 蔥蛋燒肉堡 漢堡 ,蔥蛋椒鹽燒肉堡
LQA-4-92,餐點詢問,介紹黃金炸豬 司堡,黃金炸豬 司堡裡面有什麼? 黃金炸豬 司堡內容物 黃金炸豬 司堡包什麼？ 黃金炸豬堡裡面有什麼? 黃金炸豬堡內容物 黃金炸豬堡包什麼？ 炸豬 司堡裡面有什麼? 炸豬 司堡內容物 炸豬 司堡包什麼？ ,你好！黃金炸豬 司堡(漢堡、沙拉、炸豬、 司、雞蛋),黃金炸豬 司堡 炸豬 司堡 漢堡 ,炸豬堡
LQA-4-93,餐點詢問,介紹香煎辣雞腿堡,香煎辣雞腿堡裡面有什麼? 香煎辣雞腿堡內容物 香煎辣雞腿堡包什麼？ 香煎雞腿堡裡面有什麼? 香煎雞腿堡內容物 香煎雞腿堡包什麼？ ,你好！香煎辣雞腿堡(漢堡、沙拉、蔥蛋、燒肉),香煎辣雞腿堡 漢堡 燒肉 ,香煎雞腿堡 泰式醬 
LQA-4-94,餐點詢問,介紹脆皮雞腿堡,介紹脆皮雞腿堡 脆皮雞腿堡內容物 脆皮雞腿堡包什麼？ ,你好！脆皮雞腿堡(漢堡、沙拉、脆皮雞腿、雞蛋),脆皮雞腿堡,
LQA-4-95,餐點詢問,介紹泰式辣味雞腿堡,介紹泰式辣味雞腿堡 泰式辣味雞腿堡內容物 泰式辣味雞腿堡包什麼？ ,你好！泰式辣味雞腿堡(漢堡、沙拉、脆皮雞腿、泰式辣醬、雞蛋),泰式辣味雞腿堡 辣味 泰式 ,
LQA-4-96,餐點詢問,介紹花生醬 司牛肉堡,介紹花生醬 司牛肉堡 花生醬 司牛肉堡內容物 花生醬 司牛肉堡包什麼？ 介紹 司牛肉堡  司牛肉堡內容物  司牛肉堡什麼？ ,你好！花生醬 司牛肉堡(漢堡、花生醬、牛肉、 司、雞蛋), 司牛肉堡,花生醬 司牛肉堡
LQA-4-97,餐點詢問,介紹培根牛肉 司堡,介紹培根牛肉 司堡 培根牛肉 司堡內容物 培根牛肉 司堡包什麼？ 介紹培根牛肉堡 培根牛肉堡內容物 培根牛肉堡什麼？ ,你好！培根牛肉 司堡(漢堡、沙拉、牛肉、培根、 司、雞蛋),培根牛肉 司堡,培根牛肉堡
LQA-4-98,餐點詢問,介紹牛肉堡,牛肉堡內容物 牛肉堡包什麼？ ,你好！牛肉堡系列有：花生醬 司牛肉堡(漢堡、花生醬、牛肉、 司、雞蛋)培根牛肉 司堡(漢堡、沙拉、牛肉、培根、 司、雞蛋),牛肉堡 牛肉漢堡 ,
LQA-4-99,餐點詢問,介紹菜脯蔥蛋刈包,介紹菜脯蔥蛋刈包 菜脯蔥蛋刈包內容物 菜脯蔥刈包內容物 介紹菜脯蔥刈包 ,你好！菜脯蔥蛋刈包(刈包、菜脯蔥蛋),菜脯蔥蛋刈包,
LQA-4-100,餐點詢問,介紹豬肉丼刈包,介紹豬肉丼刈包 豬肉丼刈包內容物 豬肉刈包內容物 介紹豬肉刈包 ,你好！豬肉丼刈包(刈包、小黃瓜、豬肉),豬肉丼刈包,豬肉刈包
LQA-4-101,餐點詢問,介紹牛肉丼刈包,介紹牛肉丼刈包 牛肉丼刈包內容物 牛肉刈包內容物 介紹牛肉刈包 ,你好！牛肉丼刈包(刈包、小黃瓜、牛肉),牛肉丼刈包 刈包 牛肉 ,牛肉刈包
LQA-4-102,餐點詢問,介紹原味蛋餅,介紹蛋餅 我想吃原味蛋餅 我要原味蛋餅 ,你好！原味蛋餅(雞蛋、蛋餅皮),原味蛋餅 蛋餅 我想吃 ,蛋餅
LQA-4-103,餐點詢問,介紹菜脯蔥蛋餅,我想吃菜脯蔥蛋餅 我要菜脯蔥蛋餅  ,你好！原味蛋餅(雞蛋、蛋餅皮),菜脯蔥蛋餅 蛋餅 ,
LQA-4-104,餐點詢問,介紹火腿蛋餅,我想吃火腿蛋餅 我要火腿蛋餅  ,你好！火腿蛋餅(雞蛋、蛋餅皮、火腿),火腿蛋餅 蛋餅 ,
LQA-4-105,餐點詢問,介紹玉米蛋餅,我想吃玉米蛋餅 我要玉米蛋餅  ,你好！火腿蛋餅(雞蛋、蛋餅皮、玉米粒),玉米蛋餅 蛋餅 ,
LQA-4-106,餐點詢問,介紹 司蛋餅,我想吃 司蛋餅 我要 司蛋餅  ,你好！ 司蛋餅(雞蛋、蛋餅皮、 司), 司蛋餅 蛋餅 ,
LQA-4-107,餐點詢問,介紹泰式辣鬆蛋餅,我想吃泰式辣鬆蛋餅 我要泰式辣鬆蛋餅 我想吃辣鬆蛋餅 我要辣鬆蛋餅 ,你好！泰式辣鬆蛋餅(雞蛋、蛋餅皮、肉鬆、泰式醬),泰式辣鬆蛋餅 泰式 辣味 蛋餅 ,辣鬆蛋餅 泰式醬 
LQA-4-108,餐點詢問,介紹特級培根蛋餅,我想吃特級培根蛋餅 我要特級培根蛋餅 我想吃培根蛋餅 我要培根蛋餅 ,你好！特級培根蛋餅(雞蛋、蛋餅皮、特級培根),特級培根蛋餅 培根 蛋餅  ,培根蛋餅
LQA-4-109,餐點詢問,介紹黃金薯餅蛋餅,我想吃黃金薯餅蛋餅 我要黃金薯餅蛋餅 我想薯餅蛋餅 我要薯餅蛋餅 ,你好！黃金薯餅蛋餅(雞蛋、蛋餅皮、薯餅),黃金薯餅蛋餅 薯餅 蛋餅 ,薯餅蛋餅 薯泥蛋 豬排 喜拌麵  喜拌麵 
LQA-4-110,餐點詢問,介紹薯泥 司蛋餅,我想吃薯泥 司蛋餅 我要薯泥 司蛋餅 我想吃薯泥蛋餅 我要薯泥蛋餅 ,你好！薯泥 司蛋餅(雞蛋、蛋餅皮、薯泥蛋、 司),薯泥 司蛋餅 薯泥 蛋餅 ,
LQA-4-111,餐點詢問,介紹豬排蛋餅,我想吃豬排蛋餅 我要豬排蛋餅 ,你好！豬排蛋餅(雞蛋、蛋餅皮、里肌豬排),豬排蛋餅 里肌豬排 ,
LQA-4-112,餐點詢問,介紹沙茶拌麵,我想吃沙茶拌麵 我要沙茶拌麵 ,你好！沙茶拌麵(沙茶醬汁、蛋、蔥、麵條),沙茶拌麵 拌麵 ,
LQA-4-113,餐點詢問,介紹椒麻拌麵,我想吃椒麻拌麵 我要椒麻拌麵 ,你好！椒麻拌麵(椒麻醬汁、蛋、蔥、麵條),椒麻拌麵 拌麵 ,
LQA-4-114,餐點詢問,介紹沙茶燒肉拌麵,我想吃沙茶燒肉拌麵 我要沙茶燒肉拌麵 ,你好！沙茶燒肉拌麵(沙茶醬汁、燒肉、蛋、蔥、麵條),沙茶燒肉拌麵 拌麵 ,沙茶燒肉 喜拌麵
LQA-4-115,餐點詢問,介紹椒麻燒肉拌麵,我想吃椒麻燒肉拌麵 我要椒麻燒肉拌麵 ,你好！椒麻燒肉拌麵(椒麻醬汁、燒肉、蛋、蔥、麵條),椒麻燒肉拌麵 拌麵 ,椒麻燒肉 喜拌麵
LQA-4-116,餐點詢問,介紹豬肉丼拌麵,我想吃豬肉丼拌麵 我要豬肉丼拌麵 ,你好！豬肉丼拌麵(豬肉丼、蔥、麵條),豬肉丼拌麵 拌麵 ,豬肉拌麵 喜拌麵 
LQA-4-117,餐點詢問,介紹牛肉丼拌麵,我想吃牛肉丼拌麵 我要牛肉丼拌麵 ,你好！牛肉丼拌麵(牛肉丼、蔥、麵條),牛肉丼拌麵 拌麵 ,牛肉拌麵 喜拌麵 
LQA-4-118,餐點詢問,介紹烏龍湯麵,我想吃烏龍湯麵 我要烏龍湯麵 ,你好！烏龍湯麵是柴魚湯底、火鍋肉片、蛋捲丸、竹輪、蟹味棒、黃金魚蛋、高麗菜,烏龍湯麵,烏龍麵
LQA-5-1,店家資訊,請問你們 業時間,你們 業時間到幾點？ 你們幾點開始？ 你們 業時間幾點到幾點？ ,你好！我們 業時間是每日早上06:00~13:30唷！,時間 幾點 ,
LQA-5-2,店家資訊,好停車嗎？,有車位嗎？,我們門口可以停車唷，附近也滿好找到位置停的。,停車位 車位,停車
LQA-5-3,店家資訊,內用還有位置嗎？,現在有位置嗎？ 現在去要等嗎？ 現在人很多嗎？ 可以幫我們留位置嗎？ ,內用座位以現場狀況為主唷！我們無法預先保留座位唷,位置,
LQA-5-4,店家資訊,請問你們地址在哪裡?,你們靠近哪裡？ 地址在哪 有地址嗎 我需要地址 店址在哪 你們在哪裡 地點在哪 ,地址：臺南市永康區大仁街189號業時間:週一~週日 06:00~13:00,地址 店址 地點 ,住址
LQA-5-5,店家資訊,你們電話幾號？,有電話嗎 有聯絡電話嗎？ 打電話 如何聯絡 電話？ 電話號碼 ,電話：06-271 7889 業時間:週一~週日 06:00~13:00,電話 聯絡 ,電話號碼
LQA-5-6,店家資訊,有提供兒童椅嗎？,有兒童椅嗎,我們店內尚未提供兒童椅喔,兒童椅,
LQA-5-7,店家資訊,可以帶寵物嗎？,狗可以進去嗎？ 貓可以進去嗎？ 寵物可以進去嗎？ 可以帶狗嗎 可以帶貓嗎 ,只要不要影 其他客人用餐，關好就可以嘍！,寵物 貓 狗 ,
LQA-5-8,店家資訊,有冷氣嗎？,店內有冷氣嗎 內用有冷氣嗎 ,店內有冷氣喔,冷氣,
LQA-5-9,店家資訊,有網路嗎？,店內有網路嗎 有wifi嗎 店內有wifi嗎 有提供廁所嗎 ,有的！店內有提供無線網路wifi喔,wifi 網路 ,無線網路
LQA-5-10,店家資訊,有廁所嗎？,有提供廁所嗎 可以借廁所嗎 店內有廁所嗎 ,有的！店內有提供廁所,廁所,
LQA-5-11,店家資訊,可以訂位嗎？,可以預定嗎？ 可以借場地嗎 ,我們可以在平日一~五提供場地租借與聚餐，需要事先預約唷！,預定,
LQA-5-12,店家資訊,有外送嗎？,可以外送嗎 可以送過來嗎 你們現在可以外送嗎？ ,你好！我們有與foodpand熊貓外送平台合作，可以參考：https://www.foodpanda.com.tw/restaurant/a6fg/xi-de-tan-huo-shao-san-ming-zhi-tai-nan-yong-kang-da-ren-dian,外送,
LQA-5-13,店家資訊,有Foodpand嗎,有熊貓嗎 有Uber嗎 你們現在可以外送嗎？ ,你好！我們有與foodpand熊貓外送平台合作，可以參考：https://www.foodpanda.com.tw/restaurant/a6fg/xi-de-tan-huo-shao-san-ming-zhi-tai-nan-yong-kang-da-ren-dian,Foodpand Uber ,熊貓
